ASIN,Customer feedback sentiment,Feedback Topic,Topic mentions in Category,Topic mentions in top selling products,Topic mentions in ASIN,Customer feedback examples
B07DT1ZGQ7,negative,bad quality,4794,893,33,"not a good style as expected and its quality is not good also,quality also not good as described,quality is not at all good,quality is also not good,quality is no good"
B07KN4JJKV,negative,size issues,21476,3691,2,very small size
B07R6HNVPN,negative,hard material,319,89,1,very hard material
B07RKHYVMC,negative,fake product,1547,387,1,duplicate product
B081LCR2VJ,negative,bag is torn,1189,285,1,the bag is torn on one side
B083XZYY9H,negative,stitching is not proper,2146,553,14,"stitching is poorly done many places its not even stitched well,stitching not good and product is not good,poor stitching and cutting of the handle,very bad stitching and poor quality,product not good stitched"
B083Y1XPMM,positive,no second thought,35,4,1,none
B09G6XVLFL,negative,stitching is not proper,2146,553,1,all over the bag stitches are opening
B09Q1FYRHD,positive,looks smart,227,50,1,its looking good and the quality looks good too
B0824QS5D8,negative,size issues,21476,3691,1,this handbag to small markets bags
B082RDZZJ1,positive,value for money,7369,1266,6,"cant say much about the durability but yes its value for money,the smallest one is not really useful but considering money one can go for it,good product in this money,value for money product,just one opening but thats ok bcoz 3 items for 599 is definitely worth buying"
B09DXC2X7F,negative,size issues,21476,3691,1,wanted a smaller one
B09Q1F3WWH,negative,broken item,238,58,2,"the item is broken,torn in two places"
B09Q1FX34C,negative,yellow stains,124,15,1,yellow mark is there
B0B464X5MJ,negative,leather is worn,59,10,2,"also its little bit torn from inside the leather is coming out from outside also so im returning it back it doesnt look the same the threads are coming o,the leather is gone"
B0BRG8L4F8,negative,mobile does not fit,484,58,1,mobile not fitting
B07DCBTR6V,negative,zip is not working,1508,318,1,zip is not functioning we would appreciate if we get long sling bag
B09HTYRYLX,negative,expected better quality product,259,60,2,"expected a better product,very bad quality expected a better one"
B09M9YDVF4,negative,bad quality,4794,893,1,chain polish is not properly and quality is not good
B09M9ZGYBF,negative,product doesn't look good,8306,1788,6,"not good,not good,not good,not good,not good"
B07CG1WCLM,negative,no brand logo,453,101,1,not at all stylish
B07CKSVR63,negative,dull color,1714,352,1,very dull lather quality but it is a worth purchasing for rough and daily use
B07MY5SBVT,negative,size issues,21476,3691,1,bad product very small size
B07MY5W6KT,negative,product doesn't look good,8306,1788,3,"not looking good,color was different and not good,not recommended"
B07S19V9Z3,negative,zip is not working,1508,318,1,bag zip not proper
B09M9YDVF4,negative,looks old,3077,592,1,bag looks like old fashion and material quality is too bad
B09M9ZGYBF,negative,size issues,21476,3691,6,"it is too small,length is very small,size of the bag is too small as i expect,size is small and the string is too short for a sling bag,bag strap small"
B07BVKZXCV,negative,chain is broken,511,70,1,chain is broken
B07DT1ZGQ7,negative,doesn't look like this,703,194,3,"it is not fargo,in picture it looks good but i dont like it,no genuine"
B07G63DC9Q,negative,zip is not working,1508,318,1,zips are not working
B07LDSPW5Q,negative,stitching is not proper,2146,553,1,stitches are not put properly and left at many places
B07Q4F3YVQ,negative,size is not fit,3432,821,1,its not the size that i actually expected but great as well
B082RDZZJ1,positive,looks nice,7013,969,1,very nice
B083Y1XPMM,negative,broken item,238,58,2,"some parts are broken and there are marks which are not removing and lot of dust on it,broken"
B09HTYRYLX,positive,stylish bag,988,256,4,"very stylish bag,it is stylish in look and good in quality i have purchased to gift in such price got good one,i gifted it to someone and they are very happy it is a very stylish and compact bag with good quality material color combination is also very good,nice product"
B09Q1DBMM6,negative,stitching is not proper,2146,553,2,not stitched properly
B09Q1FYRHD,negative,design is not good,419,126,1,i am not liking the product as a whole
B09Q1HN2B2,negative,material is not good,4433,960,2,poor material
B07CKQMC7G,negative,stitching is not proper,2146,553,1,stitching was not good
B07CYZC1YQ,negative,material is not good,4433,960,1,poor material quality
B07DT1ZGQ7,negative,doesn't suit,582,161,1,i am not choice
B07J2NZKL3,positive,material quality,1741,257,1,good materials
B07MFZ34NK,negative,product has stains,850,197,1,having stains on it
B07NVMT9XT,negative,color not good,3861,866,1,bad color
B07NYXMM7M,negative,not as shown in picture,10280,1970,1,not good as shown in photo
B07P5LRL5W,negative,zip is broken,938,167,1,zip of the bag is damaged
B07X9D9M6W,negative,bad smell,664,152,1,smells very bad
B081L68ST3,negative,waste of money,3189,599,1,cheap quality of stuff wastage of money
B083XZYY9H,negative,no pockets inside the bag,563,130,12,"not even a single pocket in the bag,there are no packets inside the bag,it doesnt have any extra pocket and i dont like it,it dont have any pockets inside,no internal pockets and no inner chain"
B09Q1JMT13,negative,doesn't fit properly,1545,527,2,"does not look good,not looking good"
B07CYZC1YQ,negative,bag is torn,1189,285,1,very bad quality and the small purse is torn
B07DSY697V,negative,zip quality,1076,247,1,zips are not good very poor quality
B07G63DC9Q,negative,looks old,3077,592,1,the chain is broken and the purse looks old and used
B07MY4VS9V,negative,corner is damaged,82,26,1,damaged at both the corners and the quality is not up to the mark
B07RPZB7MY,negative,not as shown in picture,10280,1970,1,original product is not what shown in picture
B07SWVK36G,negative,material is not good,4433,960,1,item not as expected
B08NYPH9FS,negative,bad quality,4794,893,2,"quality is not good,quality is not good"
B09M9ZPL7D,positive,looks nice,7013,969,2,"very nice product quality also too good cute and good enough to keep your little necessary things at place,its color is light green and very nice"
B09Q1GYYVY,negative,lock of bag,91,39,1,its lock is damaged
B0BRG8L4F8,negative,bad quality,4794,893,1,logo is broken and quality is not good
B07BVNMPK9,negative,zip is broken,938,167,2,"zip runner broken,zip is damaged"
B07CYXCK13,negative,want refund,155,30,1,different color from what was ordered traveling out of town need refund
B07R6HNDV4,negative,useless for purpose,1464,283,1,not serving the purpose
B07RKHYVMC,negative,belt is broken,405,103,1,belt is torn
B07RZ8KZS9,negative,bag is torn,1189,285,1,purse inner cloth is torn near zip
B07RZ8KZS9,negative,not as shown in picture,10280,1970,6,"totally different from what has been shown in pic,doesnt match with the advertised picture,it doesnt look same as shown in pic,item not up to the mark,different product"
B0824QS5D8,negative,product doesn't look good,8306,1788,3,"look not good,not good,this product quality is poor this not fair to me"
B083XZYY9H,positive,style look,62,5,1,it is very good and style looking
B09HTYRYLX,negative,not leather,624,116,1,non leather
B09Q1DRFQ8,negative,doesn't fit properly,1545,527,1,jaisa socha waisa nahi hai quality is very bad and does not look good
B09Q1F3WWH,positive,looks smart,227,50,1,its good
B0BN6DD5Z6,negative,size is not fit,3432,821,1,quality or size issue
B07DBBTW4F,negative,stitching is not proper,2146,553,4,"the finish and stitching is not of good quality,stitching is not proper way,stitching is not properly finished,stitching not perfect"
B07G63DC9Q,positive,value for money,7369,1266,1,good worth the price
B07P1QKL1F,negative,leather quality,632,140,1,leather quality was really bad
B083Y1XPMM,negative,rust on the metal,51,9,2,"it is old with some scratches and it has rust,rust on the metal parts defective chain"
B09HTYRYLX,negative,doesn't suit,582,161,1,i am not interested
B09HTYRYLX,positive,small sling bag,305,54,1,its simple and elegant sling bag with one compartment and a small pocket in it goes with all looks loved it
B09M9ZGYBF,negative,white color bag,302,52,1,i want white color bag
B0B464X5MJ,positive,good design,701,127,2,"i do not like the design and material of it,design is good but literally the quality of the bag is very poor"
B07MY5XFD1,negative,bad quality,4794,893,1,quality not good and damaged not as per display
B07RZ8KZS9,negative,looks old,3077,592,1,old product
B09HTYRYLX,negative,bad smell,664,152,3,"product quality is very bad plus its stinking like hell,i thought i will use it but it is having a bad smell,it has a very bad smell and its very cheap in quality"
B09M9ZGYBF,negative,didn't expect this small size,575,158,1,size is so small and not so good
B09Q1DT2RW,negative,magnet is not working,93,24,2,"the magnet is not working properly,magnetic lock is not working"
B0B464X5MJ,negative,corner is damaged,82,26,1,the bottom part is damaged
B07G4G2LW8,negative,not as shown in picture,10280,1970,2,"not as seen in the pic,it is not the same product as shown in the picture"
B07MY5XFD1,negative,cut mark,178,48,1,cut marks on back side
B07NVR9DDN,positive,value for money,7369,1266,1,worth buying
B07RKHYVMC,positive,looks nice,7013,969,3,"very good qualify nice look,overall nice,nice"
B07RZ8KZS9,negative,fungus on bag,36,2,1,fungus on main bag quality not good of this shipped product
B09M9YL9WG,negative,bad finishing,1129,297,2,"quality not my asptance,not up to mark / quality"
B09Q1FX34C,negative,not comfortable,621,160,1,not comfortable
B07DBBTW4F,negative,design is not good,419,126,1,not satisfied with product
B07X9D9M6W,positive,looks nice,7013,969,1,very useful for daily use spacious and good looking
B082RDZZJ1,negative,doesn't look like this,703,194,1,its not attractive and not like
B083Y1XPMM,negative,bad quality,4794,893,28,"its a different quality as per my choices quality is not good,product quality is not as seen in image the quality is not good,the quality is not at all good,quality not good not satisfied,quality is really poor also not returned it even"
B09HKG54KC,negative,product doesn't look good,8306,1788,2,"does not look good,it doesnt look good"
B09Q1JVKQW,negative,not as shown in picture,10280,1970,4,"totally opposite from what was described in the details,completely different,the product is different from the pic shown,item doesnt match website description"
B07KSGPXGB,negative,stitching is coming,423,109,1,the stitching of the item is knackered or broken from all over and the stitching from inside the item and outside is ruined
B07R6HNVPN,negative,not as shown in picture,10280,1970,2,"not as shown in picture,product quality is not as per what i have seen in the image"
B07RZ8KZS9,negative,local product,138,24,1,looks local and the quality of the inner cloth is not good also the small wallet looks likes a 20rs wallet
B07SWVK36G,negative,less space,275,68,1,not enough space and bad quality
B083Y1XPMM,negative,strap is broken,569,170,1,strap of the purse is broken
B09M9YL9WG,negative,less space,275,68,1,space is not sufficient
B09Q1FX34C,negative,fake product,1547,387,1,does not seem to be original
B0BGFR4NPZ,negative,dirt marks on product,225,42,1,it seems used as it has dirt marks
B0BGFR849K,negative,size is not fit,3432,821,1,size is not ok
